category_id,parent_id,name(en-gb),name(ru-ru),top,columns,sort_order,image_name,date_added,date_modified,seo_keyword,description(en-gb),description(ru-ru),meta_title(en-gb),meta_title(ru-ru),meta_description(en-gb),meta_description(ru-ru),meta_keywords(en-gb),meta_keywords(ru-ru),store_ids,layout,status
cid_5363926,cid_5362953,"Ruck 47","Ruck 47",false,1,0,,"2019-01-21 13:05:56","2019-01-21 13:05:56",ruck-47,,,,,,,,,0,,true
cid_5362954,cid_4951191,"Осевые вентиляторы","Осевые вентиляторы",false,1,0,,"2019-01-21 13:05:56","2019-01-21 13:05:56",-,,,,,,,,,0,,true
cid_5362960,cid_5362954,"Ballu Machine 12","Ballu Machine 12",false,1,0,,"2019-01-21 13:05:56","2019-01-21 13:05:56",ballu-machine-12,,,,,,,,,0,,true
cid_5362982,cid_5362954,"Korf 6","Korf 6",false,1,0,,"2019-01-21 13:05:56","2019-01-21 13:05:56",korf-6,,,,,,,,,0,,true
cid_5362957,cid_4951191,"Центробежные вентиляторы","Центробежные вентиляторы",false,1,0,,"2019-01-21 13:05:56","2019-01-21 13:05:56",-,,,,,,,,,0,,true
cid_5362961,cid_5362957,"Ballu Machine","Ballu Machine",false,1,0,,"2019-01-21 13:05:56","2019-01-21 13:05:56",ballu-machine,,,,,,,,,0,,true
cid_5362962,cid_5362957,"Electrolux 6","Electrolux 6",false,1,0,,"2019-01-21 13:05:56","2019-01-21 13:05:56",electrolux-6,,,,,,,,,0,,true
cid_5362980,cid_5362957,"Ostberg 27","Ostberg 27",false,1,0,,"2019-01-21 13:05:56","2019-01-21 13:05:56",ostberg-27,,,,,,,,,0,,true
cid_5363009,cid_5362957,"Ruck 4","Ruck 4",false,1,0,,"2019-01-21 13:05:56","2019-01-21 13:05:56",ruck-4,,,,,,,,,0,,true
cid_4951202,cid_4951169,"Водяные нагреватели","Водяные нагреватели",false,1,0,,"2019-01-21 13:05:56","2019-01-21 13:05:56",-,,,,,,,,,0,,true
cid_5313416,cid_4951202,"Korf 24","Korf 24",false,1,0,,"2019-01-21 13:05:56","2019-01-21 13:05:56",korf-24,,,,,,,,,0,,true
cid_5313417,cid_4951202,"Systemair 43","Systemair 43",false,1,0,,"2019-01-21 13:05:56","2019-01-21 13:05:56",systemair-43,,,,,,,,,0,,true
cid_4951203,cid_4951169,"Электрические нагреватели","Электрические нагреватели",false,1,0,,"2019-01-21 13:05:56","2019-01-21 13:05:56",-,,,,,,,,,0,,true
cid_5313426,cid_4951203,"Korf 54","Korf 54",false,1,0,,"2019-01-21 13:05:56","2019-01-21 13:05:56",korf-54,,,,,,,,,0,,true
cid_5313427,cid_4951203,"Shuft 28","Shuft 28",false,1,0,,"2019-01-21 13:05:56","2019-01-21 13:05:56",shuft-28,,,,,,,,,0,,true
cid_5313428,cid_4951203,"Systemair 69","Systemair 69",false,1,0,,"2019-01-21 13:05:56","2019-01-21 13:05:56",systemair-69,,,,,,,,,0,,true
cid_5313429,cid_4951203,"Арктос 82","Арктос 82",false,1,0,,"2019-01-21 13:05:56","2019-01-21 13:05:56",-82,,,,,,,,,0,,true
cid_5313430,cid_4951203,"Аэроблок 57","Аэроблок 57",false,1,0,,"2019-01-21 13:05:56","2019-01-21 13:05:56",-57,,,,,,,,,0,,true
cid_4951204,cid_4951169,Охладители,Охладители,false,1,0,,"2019-01-21 13:05:56","2019-01-21 13:05:56",-,,,,,,,,,0,,true
cid_5313546,cid_4951204,"Korf 18","Korf 18",false,1,0,,"2019-01-21 13:05:56","2019-01-21 13:05:56",korf-18,,,,,,,,,0,,true
cid_5313547,cid_4951204,"Mitsubishi Heavy Industries 5","Mitsubishi Heavy Industries 5",false,1,0,,"2019-01-21 13:05:56","2019-01-21 13:05:56",mitsubishi-heavy-industries-5,,,,,,,,,0,,true
cid_5313548,cid_4951204,"Systemair 23","Systemair 23",false,1,0,,"2019-01-21 13:05:56","2019-01-21 13:05:56",systemair-23,,,,,,,,,0,,true
cid_5313559,cid_4951204,"Арктос 40","Арктос 40",false,1,0,,"2019-01-21 13:05:56","2019-01-21 13:05:56",-40,,,,,,,,,0,,true
cid_4951205,cid_4951169,Рекуператоры,Рекуператоры,false,1,0,,"2019-01-21 13:05:56","2019-01-21 13:05:56",-,,,,,,,,,0,,true
cid_5313560,cid_4951205,"Korf 9","Korf 9",false,1,0,,"2019-01-21 13:05:56","2019-01-21 13:05:56",korf-9,,,,,,,,,0,,true
cid_4951206,cid_4951169,"Воздушные фильтры","Воздушные фильтры",false,1,0,,"2019-01-21 13:05:56","2019-01-21 13:05:56",-,,,,,,,,,0,,true
cid_5313579,cid_4951206,"Systemair 7","Systemair 7",false,1,0,,"2019-01-21 13:05:56","2019-01-21 13:05:56",systemair-7,,,,,,,,,0,,true
cid_5313580,cid_4951206,"МВЕС 2","МВЕС 2",false,1,0,,"2019-01-21 13:05:56","2019-01-21 13:05:56",-2,,,,,,,,,0,,true
cid_4951207,cid_4951169,"Элементы автоматики","Элементы автоматики",false,1,0,,"2019-01-21 13:05:56","2019-01-21 13:05:56",-,,,,,,,,,0,,true
cid_5333842,cid_4951207,"Оборудование для приточных установок","Оборудование для приточных установок",false,1,0,,"2019-01-21 13:05:56","2019-01-21 13:05:56",-,,,,,,,,,0,,true
cid_5333843,cid_4951207,Регуляторы,Регуляторы,false,1,0,,"2019-01-21 13:05:56","2019-01-21 13:05:56",-,,,,,,,,,0,,true
cid_5416464,cid_5333843,"Danfoss VLT 51","Danfoss VLT 51",false,1,0,,"2019-01-21 13:05:56","2019-01-21 13:05:56",danfoss-vlt-51,,,,,,,,,0,,true
cid_5416485,cid_5333843,"Korf 6","Korf 6",false,1,0,,"2019-01-21 13:05:56","2019-01-21 13:05:56",korf-6,,,,,,,,,0,,true
cid_5416486,cid_5333843,"Systemair 62","Systemair 62",false,1,0,,"2019-01-21 13:05:56","2019-01-21 13:05:56",systemair-62,,,,,,,,,0,,true
cid_5416487,cid_5333843,"Vacon 22","Vacon 22",false,1,0,,"2019-01-21 13:05:56","2019-01-21 13:05:56",vacon-22,,,,,,,,,0,,true
cid_5333846,cid_4951207,"Щиты управления","Щиты управления",false,1,0,,"2019-01-21 13:05:56","2019-01-21 13:05:56",-,,,,,,,,,0,,true
cid_5416522,cid_5333846,"Korf 8","Korf 8",false,1,0,,"2019-01-21 13:05:56","2019-01-21 13:05:56",korf-8,,,,,,,,,0,,true
cid_5416523,cid_5333846,"Аэроблок 151","Аэроблок 151",false,1,0,,"2019-01-21 13:05:56","2019-01-21 13:05:56",-151,,,,,,,,,0,,true
cid_5333848,cid_4951207,Электроприводы,Электроприводы,false,1,0,,"2019-01-21 13:05:56","2019-01-21 13:05:56",-,,,,,,,,,0,,true
cid_5416537,cid_5333848,"Gruner 48","Gruner 48",false,1,0,,"2019-01-21 13:05:56","2019-01-21 13:05:56",gruner-48,,,,,,,,,0,,true
cid_5268286,cid_4951169,"Канальные обеззараживатели воздуха","Канальные обеззараживатели воздуха",false,1,0,,"2019-01-21 13:05:56","2019-01-21 13:05:56",-,,,,,,,,,0,,true
cid_5348173,cid_5268286,"Поток 3","Поток 3",false,1,0,,"2019-01-21 13:05:56","2019-01-21 13:05:56",-3,,,,,,,,,0,,true
cid_5348174,cid_5268286,"Тион 4","Тион 4",false,1,0,,"2019-01-21 13:05:56","2019-01-21 13:05:56",-4,,,,,,,,,0,,true
cid_5348150,cid_4951169,"Микроклиматические устройства","Микроклиматические устройства",false,1,0,,"2019-01-21 13:05:56","2019-01-21 13:05:56",-,,,,,,,,,0,,true
cid_5348154,cid_5348150,"Увлажнители воздуха","Увлажнители воздуха",false,1,0,,"2019-01-21 13:05:56","2019-01-21 13:05:56",-,,,,,,,,,0,,true
cid_5350554,cid_5348154,"Ballu Machine 7","Ballu Machine 7",false,1,0,,"2019-01-21 13:05:56","2019-01-21 13:05:56",ballu-machine-7,,,,,,,,,0,,true
cid_5350555,cid_5348154,"Breezart 17","Breezart 17",false,1,0,,"2019-01-21 13:05:56","2019-01-21 13:05:56",breezart-17,,,,,,,,,0,,true
cid_5350610,cid_5348154,"Carel 213","Carel 213",false,1,0,,"2019-01-21 13:05:56","2019-01-21 13:05:56",carel-213,,,,,,,,,0,,true
cid_5350621,cid_5348154,"Hygromatik 120","Hygromatik 120",false,1,0,,"2019-01-21 13:05:56","2019-01-21 13:05:56",hygromatik-120,,,,,,,,,0,,true
cid_5368497,cid_5348154,"DanVex 8","DanVex 8",false,1,0,,"2019-01-21 13:05:56","2019-01-21 13:05:56",danvex-8,,,,,,,,,0,,true
cid_5368508,cid_5348154,"Venta 6","Venta 6",false,1,0,,"2019-01-21 13:05:56","2019-01-21 13:05:56",venta-6,,,,,,,,,0,,true
cid_5368511,cid_5348154,"Trotec 4","Trotec 4",false,1,0,,"2019-01-21 13:05:56","2019-01-21 13:05:56",trotec-4,,,,,,,,,0,,true
cid_5368514,cid_5348154,"Pioneer 7","Pioneer 7",false,1,0,,"2019-01-21 13:05:56","2019-01-21 13:05:56",pioneer-7,,,,,,,,,0,,true
cid_5368515,cid_5348154,"Panasonic 3","Panasonic 3",false,1,0,,"2019-01-21 13:05:56","2019-01-21 13:05:56",panasonic-3,,,,,,,,,0,,true
cid_5368690,cid_5348154,"Daikin 1","Daikin 1",false,1,0,,"2019-01-21 13:05:56","2019-01-21 13:05:56",daikin-1,,,,,,,,,0,,true
cid_5409744,cid_5348154,Ультразвуковые,Ультразвуковые,false,1,0,,"2019-01-21 13:05:56","2019-01-21 13:05:56",-,,,,,,,,,0,,true
cid_5409753,cid_5409744,"BALLU 27","BALLU 27",false,1,0,,"2019-01-21 13:05:56","2019-01-21 13:05:56",ballu-27,,,,,,,,,0,,true
cid_5409882,cid_5409744,"BONECO 14","BONECO 14",false,1,0,,"2019-01-21 13:05:56","2019-01-21 13:05:56",boneco-14,,,,,,,,,0,,true
cid_5409933,cid_5409744,"ELECTROLUX 10","ELECTROLUX 10",false,1,0,,"2019-01-21 13:05:56","2019-01-21 13:05:56",electrolux-10,,,,,,,,,0,,true
cid_5409745,cid_5348154,Паровые,Паровые,false,1,0,,"2019-01-21 13:05:56","2019-01-21 13:05:56",-,,,,,,,,,0,,true
cid_5409768,cid_5409745,"BALLU MACHINE 5","BALLU MACHINE 5",false,1,0,,"2019-01-21 13:05:56","2019-01-21 13:05:56",ballu-machine-5,,,,,,,,,0,,true
cid_5409784,cid_5409745,"BONECO 5","BONECO 5",false,1,0,,"2019-01-21 13:05:56","2019-01-21 13:05:56",boneco-5,,,,,,,,,0,,true
cid_5409828,cid_5409745,"HYGROMATIK 14","HYGROMATIK 14",false,1,0,,"2019-01-21 13:05:56","2019-01-21 13:05:56",hygromatik-14,,,,,,,,,0,,true
cid_5409746,cid_5348154,"Традиционные 1","Традиционные 1",false,1,0,,"2019-01-21 13:05:56","2019-01-21 13:05:56",-1,,,,,,,,,0,,true
cid_5409985,cid_5348154,"Дополнительные элементы для увлажнителей и очистителей","Дополнительные элементы для увлажнителей и очистителей",false,1,0,,"2019-01-21 13:05:56","2019-01-21 13:05:56",-,,,,,,,,,0,,true
cid_5409987,cid_5409985,"Запасные части 1","Запасные части 1",false,1,0,,"2019-01-21 13:05:56","2019-01-21 13:05:56",-1,,,,,,,,,0,,true
cid_5409988,cid_5409985,"Фильтры и картриджи для увлажнителей и очистителей воздуха 42","Фильтры и картриджи для увлажнителей и очистителей воздуха 42",false,1,0,,"2019-01-21 13:05:56","2019-01-21 13:05:56",-42,,,,,,,,,0,,true
cid_5409989,cid_5409985,"Элементы контроля влажности 9","Элементы контроля влажности 9",false,1,0,,"2019-01-21 13:05:56","2019-01-21 13:05:56",-9,,,,,,,,,0,,true
cid_5348155,cid_5348150,"Осушители воздуха","Осушители воздуха",false,1,0,,"2019-01-21 13:05:56","2019-01-21 13:05:56",-,,,,,,,,,0,,true
cid_5410020,cid_5348155,"BALLU 6","BALLU 6",false,1,0,,"2019-01-21 13:05:56","2019-01-21 13:05:56",ballu-6,,,,,,,,,0,,true
cid_5368698,cid_5348155,"Aerial 5","Aerial 5",false,1,0,,"2019-01-21 13:05:56","2019-01-21 13:05:56",aerial-5,,,,,,,,,0,,true
cid_5410008,cid_5348155,"AERIAL 3","AERIAL 3",false,1,0,,"2019-01-21 13:05:56","2019-01-21 13:05:56",aerial-3,,,,,,,,,0,,true
cid_5368699,cid_5348155,"Calorex 95","Calorex 95",false,1,0,,"2019-01-21 13:05:56","2019-01-21 13:05:56",calorex-95,,,,,,,,,0,,true
cid_5368936,cid_5348155,"Dantherm 32","Dantherm 32",false,1,0,,"2019-01-21 13:05:56","2019-01-21 13:05:56",dantherm-32,,,,,,,,,0,,true
cid_5369016,cid_5348155,"DanVex 31","DanVex 31",false,1,0,,"2019-01-21 13:05:56","2019-01-21 13:05:56",danvex-31,,,,,,,,,0,,true
cid_5369018,cid_5348155,"Euronord PoolMaster","Euronord PoolMaster",false,1,0,,"2019-01-21 13:05:56","2019-01-21 13:05:56",euronord-poolmaster,,,,,,,,,0,,true
cid_5369019,cid_5348155,"Hidros 109","Hidros 109",false,1,0,,"2019-01-21 13:05:56","2019-01-21 13:05:56",hidros-109,,,,,,,,,0,,true
cid_5410052,cid_5348155,"Hidros 5","Hidros 5",false,1,0,,"2019-01-21 13:05:56","2019-01-21 13:05:56",hidros-5,,,,,,,,,0,,true
cid_5369022,cid_5348155,"Kroll 7","Kroll 7",false,1,0,,"2019-01-21 13:05:56","2019-01-21 13:05:56",kroll-7,,,,,,,,,0,,true
cid_5369023,cid_5348155,"Polar Bear 151","Polar Bear 151",false,1,0,,"2019-01-21 13:05:56","2019-01-21 13:05:56",polar-bear-151,,,,,,,,,0,,true
cid_5369024,cid_5348155,"Rhoss 14","Rhoss 14",false,1,0,,"2019-01-21 13:05:56","2019-01-21 13:05:56",rhoss-14,,,,,,,,,0,,true
cid_5369025,cid_5348155,"Trotec 69","Trotec 69",false,1,0,,"2019-01-21 13:05:56","2019-01-21 13:05:56",trotec-69,,,,,,,,,0,,true
cid_5369026,cid_5348155,"Бризарт 16","Бризарт 16",false,1,0,,"2019-01-21 13:05:56","2019-01-21 13:05:56",-16,,,,,,,,,0,,true
cid_5369029,cid_5348155,"Климат Аква 3","Климат Аква 3",false,1,0,,"2019-01-21 13:05:56","2019-01-21 13:05:56",-3,,,,,,,,,0,,true
cid_5410005,cid_5348155,"Осушители воздуха и сушильные комплексы","Осушители воздуха и сушильные комплексы",false,1,0,,"2019-01-21 13:05:56","2019-01-21 13:05:56",-,,,,,,,,,0,,true
cid_5410007,cid_5348155,"Сушильные комплексы","Сушильные комплексы",false,1,0,,"2019-01-21 13:05:56","2019-01-21 13:05:56",-,,,,,,,,,0,,true
cid_5410053,cid_5410007,"BALLU 2","BALLU 2",false,1,0,,"2019-01-21 13:05:56","2019-01-21 13:05:56",ballu-2,,,,,,,,,0,,true
cid_5410017,cid_5348155,"Сушилки для рук","Сушилки для рук",false,1,0,,"2019-01-21 13:05:56","2019-01-21 13:05:56",-,,,,,,,,,0,,true
cid_5410018,cid_5410017,"Сушилки для рук электрические 14","Сушилки для рук электрические 14",false,1,0,,"2019-01-21 13:05:56","2019-01-21 13:05:56",-14,,,,,,,,,0,,true
cid_5348156,cid_5348150,"Очистители воздуха","Очистители воздуха",false,1,0,,"2019-01-21 13:05:56","2019-01-21 13:05:56",-,,,,,,,,,0,,true
cid_5416403,cid_5348156,"ActivTek 15","ActivTek 15",false,1,0,,"2019-01-21 13:05:56","2019-01-21 13:05:56",activtek-15,,,,,,,,,0,,true
